Date,Open,High,Low,Close,Volume,Adj Close
2022-03-22 05:25:00,2895.41,2895.57,2893.56,2894.65,9464.541,2894.65
2022-03-22 05:26:00,2894.65,2894.99,2893.88,2893.9,4242.3913,2893.9
2022-03-22 05:27:00,2894.04,2894.9,2893.07,2894.9,1584.8681,2894.9
2022-03-22 05:28:00,2894.9,2897.79,2894.9,2897.4,1742.5715,2897.4
2022-03-22 05:29:00,2897.25,2897.25,2896.47,2896.82,3589.7229,2896.82
2022-03-22 05:30:00,2896.69,2896.71,2894.62,2895.01,1406.1691,2895.01
2022-03-22 05:31:00,2894.87,2894.87,2889.29,2890.14,1118.1691,2890.14
2022-03-22 05:32:00,2889.85,2891,2888.54,2889.7,1214.7697,2889.7
2022-03-22 05:33:00,2889.99,2894.28,2889.99,2894.04,9539.8888,2894.04
2022-03-22 05:34:00,2893.61,2896.99,2893.58,2896.56,28363.718,2896.56
2022-03-22 05:35:00,2896.55,2896.55,2895.49,2895.49,8468.2681,2895.49
2022-03-22 05:36:00,2895.49,2895.49,2895.48,2895.49,4409.9735,2895.49
2022-03-22 05:37:00,2895.48,2896.45,2894.06,2896.44,15849.6304,2896.44
2022-03-22 05:38:00,2896.44,2897.07,2895.77,2895.78,15695.5913,2895.78
2022-03-22 05:39:00,2895.99,2896.4,2895.06,2896.4,5101.7007,2896.4
2022-03-22 05:40:00,2896.8,2897,2896.34,2897,5771.7796,2897
2022-03-22 05:41:00,2897,2897.68,2896.29,2896.45,3218.7648,2896.45
2022-03-22 05:42:00,2896.46,2897.52,2896.46,2897.52,3272.3408,2897.52
2022-03-22 05:43:00,2897.51,2899.28,2897.51,2898.28,3583.841,2898.28
2022-03-22 05:44:00,2898.38,2900.25,2898,2900.07,2431.4837,2900.07
2022-03-22 05:45:00,2900.07,2900.23,2899.18,2900.1,2372.0148,2900.1
2022-03-22 05:46:00,2899.93,2902.31,2899.72,2902.31,8368.1282,2902.31
2022-03-22 05:47:00,2902.3,2904.72,2902.16,2904.07,3419.0703,2904.07
2022-03-22 05:48:00,2904.07,2904.07,2902.44,2902.78,12738.2137,2902.78
2022-03-22 05:49:00,2902.78,2902.78,2901.27,2902.15,7500.4998,2902.15
